,date,predictions
0,2012-01-01 02:14:52.828800,460.8634
1,2012-01-01 05:53:02.428800,451.45297
2,2012-01-01 09:31:12.028800,457.85623
3,2012-01-01 13:09:21.628800,454.899
4,2012-01-01 16:47:31.228800,452.71042
5,2012-01-01 20:25:40.828800,434.79422
6,2012-01-02 00:03:50.428800,431.9197
7,2012-01-02 03:42:00.028800,434.8746
8,2012-01-02 07:20:09.628800,420.41116
9,2012-01-02 10:58:19.228800,400.76666
10,2012-01-02 14:36:28.828800,398.1163
11,2012-01-02 18:14:38.428800,404.50604
12,2012-01-02 21:52:48.028800,402.83734
13,2012-01-03 01:30:57.628800,401.30875
14,2012-01-03 05:09:07.228800,394.8514
15,2012-01-03 08:47:16.828800,386.42023
16,2012-01-03 12:25:26.428800,369.5129
17,2012-01-03 16:03:36.028800,373.39502
18,2012-01-03 19:41:45.628800,379.74786
19,2012-01-03 23:19:55.228800,379.74786
20,2012-01-04 02:58:04.828800,371.08197
21,2012-01-04 06:36:14.428800,351.1159
22,2012-01-04 10:14:24.028800,355.0218
23,2012-01-04 13:52:33.628800,348.26138
24,2012-01-04 17:30:43.228800,352.97528
25,2012-01-04 21:08:52.828800,361.03668
26,2012-01-05 00:47:02.428800,377.3379
27,2012-01-05 04:25:12.028800,371.90073
28,2012-01-05 08:03:21.628800,360.22327
29,2012-01-05 11:41:31.228800,377.7094
30,2012-01-05 15:19:40.828800,384.37997
31,2012-01-05 18:57:50.428800,384.0924
32,2012-01-05 22:36:00.028800,384.7921
33,2012-01-06 02:14:09.628800,382.20862
34,2012-01-06 05:52:19.228800,387.5748
35,2012-01-06 09:30:28.828800,417.2444
36,2012-01-06 13:08:38.428800,435.72485
37,2012-01-06 16:46:48.028800,435.62976
38,2012-01-06 20:24:57.628800,451.42862
39,2012-01-07 00:03:07.228800,433.19193
40,2012-01-07 03:41:16.828800,430.3761
41,2012-01-07 07:19:26.428800,440.02524
42,2012-01-07 10:57:36.028800,466.28278
43,2012-01-07 14:35:45.628800,481.17166
44,2012-01-07 18:13:55.228800,478.30408
45,2012-01-07 21:52:04.828800,488.63544
46,2012-01-08 01:30:14.428800,488.63544
47,2012-01-08 05:08:24.028800,476.5451
48,2012-01-08 08:46:33.628800,468.76526
49,2012-01-08 12:24:43.228800,473.34756
50,2012-01-08 16:02:52.828800,474.43207
51,2012-01-08 19:41:02.428800,477.42938
52,2012-01-08 23:19:12.028800,478.24512
53,2012-01-09 02:57:21.628800,477.54916
54,2012-01-09 06:35:31.228800,474.8991
55,2012-01-09 10:13:40.828800,463.6276
56,2012-01-09 13:51:50.428800,463.6276
57,2012-01-09 17:30:00.028800,459.70804
58,2012-01-09 21:08:09.628800,463.60898
59,2012-01-10 00:46:19.228800,458.99075
60,2012-01-10 04:24:28.828800,450.1526
61,2012-01-10 08:02:38.428800,446.72333
62,2012-01-10 11:40:48.028800,440.20193
63,2012-01-10 15:18:57.628800,438.42587
64,2012-01-10 18:57:07.228800,426.32474
65,2012-01-10 22:35:16.828800,416.98126
66,2012-01-11 02:13:26.428800,417.9265
67,2012-01-11 05:51:36.028800,414.713
68,2012-01-11 09:29:45.628800,401.14624
69,2012-01-11 13:07:55.228800,388.33405
70,2012-01-11 16:46:04.828800,388.58456
71,2012-01-11 20:24:14.428800,387.84433
72,2012-01-12 00:02:24.028800,381.6822
73,2012-01-12 03:40:33.628800,375.7016
74,2012-01-12 07:18:43.228800,378.84583
75,2012-01-12 10:56:52.828800,385.59073
76,2012-01-12 14:35:02.428800,381.7167
77,2012-01-12 18:13:12.028800,377.37067
78,2012-01-12 21:51:21.628800,376.77243
79,2012-01-13 01:29:31.228800,368.94272
80,2012-01-13 05:07:40.828800,364.9645
81,2012-01-13 08:45:50.428800,369.3472
82,2012-01-13 12:24:00.028800,381.98767
83,2012-01-13 16:02:09.628800,388.4196
84,2012-01-13 19:40:19.228800,378.24725
85,2012-01-13 23:18:28.828800,371.97903
86,2012-01-14 02:56:38.428800,367.47678
87,2012-01-14 06:34:48.028800,364.6704
88,2012-01-14 10:12:57.628800,362.934
89,2012-01-14 13:51:07.228800,369.25125
90,2012-01-14 17:29:16.828800,374.6671
91,2012-01-14 21:07:26.428800,374.3448
92,2012-01-15 00:45:36.028800,387.0977
93,2012-01-15 04:23:45.628800,377.6613
94,2012-01-15 08:01:55.228800,367.0435
95,2012-01-15 11:40:04.828800,344.15128
96,2012-01-15 15:18:14.428800,358.20016
97,2012-01-15 18:56:24.028800,367.45023
98,2012-01-15 22:34:33.628800,362.93097
99,2012-01-16 02:12:43.228800,366.0207
100,2012-01-16 05:50:52.828800,370.27002
101,2012-01-16 09:29:02.428800,355.71542
102,2012-01-16 13:07:12.028800,351.26544
103,2012-01-16 16:45:21.628800,351.7212
104,2012-01-16 20:23:31.228800,370.04755
105,2012-01-17 00:01:40.828800,376.19012
106,2012-01-17 03:39:50.428800,375.67148
107,2012-01-17 07:18:00.028800,383.92072
108,2012-01-17 10:56:09.628800,377.46185
109,2012-01-17 14:34:19.228800,370.0745
110,2012-01-17 18:12:28.828800,369.53314
111,2012-01-17 21:50:38.428800,380.3871
112,2012-01-18 01:28:48.028800,381.40747
113,2012-01-18 05:06:57.628800,390.2062
114,2012-01-18 08:45:07.228800,395.1456
115,2012-01-18 12:23:16.828800,382.0271
116,2012-01-18 16:01:26.428800,380.88293
117,2012-01-18 19:39:36.028800,386.21634
118,2012-01-18 23:17:45.628800,377.01776
119,2012-01-19 02:55:55.228800,365.697
120,2012-01-19 06:34:04.828800,392.48514
121,2012-01-19 10:12:14.428800,395.37027
122,2012-01-19 13:50:24.028800,374.2441
123,2012-01-19 17:28:33.628800,371.24435
124,2012-01-19 21:06:43.228800,363.32578
125,2012-01-20 00:44:52.828800,354.67203
126,2012-01-20 04:23:02.428800,352.46524
127,2012-01-20 08:01:12.028800,371.47186
128,2012-01-20 11:39:21.628800,376.81305
129,2012-01-20 15:17:31.228800,379.09686
130,2012-01-20 18:55:40.828800,380.65985
131,2012-01-20 22:33:50.428800,382.39853
132,2012-01-21 02:12:00.028800,385.3791
133,2012-01-21 05:50:09.628800,370.04144
134,2012-01-21 09:28:19.228800,351.3523
135,2012-01-21 13:06:28.828800,367.02823
136,2012-01-21 16:44:38.428800,374.6896
137,2012-01-21 20:22:48.028800,359.11035
138,2012-01-22 00:00:57.628800,365.20938
139,2012-01-22 03:39:07.228800,375.40128
140,2012-01-22 07:17:16.828800,356.9117
141,2012-01-22 10:55:26.428800,350.43628
142,2012-01-22 14:33:36.028800,346.2414
143,2012-01-22 18:11:45.628800,338.9493
144,2012-01-22 21:49:55.228800,334.79468
145,2012-01-23 01:28:04.828800,340.537
146,2012-01-23 05:06:14.428800,335.78793
147,2012-01-23 08:44:24.028800,334.41592
148,2012-01-23 12:22:33.628800,332.45306
149,2012-01-23 16:00:43.228800,334.27386
150,2012-01-23 19:38:52.828800,331.17926
151,2012-01-23 23:17:02.428800,329.61557
152,2012-01-24 02:55:12.028800,334.728
153,2012-01-24 06:33:21.628800,324.11108
154,2012-01-24 10:11:31.228800,321.2112
155,2012-01-24 13:49:40.828800,329.1887
156,2012-01-24 17:27:50.428800,335.09753
157,2012-01-24 21:06:00.028800,342.46286
158,2012-01-25 00:44:09.628800,354.36182
159,2012-01-25 04:22:19.228800,357.86862
160,2012-01-25 08:00:28.828800,352.78864
161,2012-01-25 11:38:38.428800,343.1259
162,2012-01-25 15:16:48.028800,341.01486
163,2012-01-25 18:54:57.628800,345.94885
164,2012-01-25 22:33:07.228800,348.89523
165,2012-01-26 02:11:16.828800,350.78287
166,2012-01-26 05:49:26.428800,364.15942
167,2012-01-26 09:27:36.028800,375.46002
168,2012-01-26 13:05:45.628800,352.48123
169,2012-01-26 16:43:55.228800,339.17725
170,2012-01-26 20:22:04.828800,345.15012
171,2012-01-27 00:00:14.428800,350.19302
172,2012-01-27 03:38:24.028800,357.79947
173,2012-01-27 07:16:33.628800,367.11237
174,2012-01-27 10:54:43.228800,370.92523
175,2012-01-27 14:32:52.828800,363.56116
176,2012-01-27 18:11:02.428800,362.9783
177,2012-01-27 21:49:12.028800,380.62317
178,2012-01-28 01:27:21.628800,391.9348
179,2012-01-28 05:05:31.228800,375.8244
180,2012-01-28 08:43:40.828800,370.99124
181,2012-01-28 12:21:50.428800,378.28995
182,2012-01-28 16:00:00.028800,387.05325
183,2012-01-28 19:38:09.628800,387.55637
184,2012-01-28 23:16:19.228800,383.73517
185,2012-01-29 02:54:28.828800,395.724
186,2012-01-29 06:32:38.428800,386.9883
187,2012-01-29 10:10:48.028800,368.23602
188,2012-01-29 13:48:57.628800,383.2501
189,2012-01-29 17:27:07.228800,395.64114
190,2012-01-29 21:05:16.828800,396.98856
191,2012-01-30 00:43:26.428800,400.60385
192,2012-01-30 04:21:36.028800,395.7201
193,2012-01-30 07:59:45.628800,388.0812
194,2012-01-30 11:37:55.228800,367.34396
195,2012-01-30 15:16:04.828800,373.15778
196,2012-01-30 18:54:14.428800,381.19498
197,2012-01-30 22:32:24.028800,371.70245
198,2012-01-31 02:10:33.628800,363.0345
199,2012-01-31 05:48:43.228800,354.97946
200,2012-01-31 09:26:52.828800,366.63998
201,2012-01-31 13:05:02.428800,363.20612
202,2012-01-31 16:43:12.028800,372.25073
203,2012-01-31 20:21:21.628800,367.00995
204,2012-01-31 23:59:31.228800,370.904
205,2012-02-01 03:37:40.828800,364.91714
206,2012-02-01 07:15:50.428800,372.13348
207,2012-02-01 10:54:00.028800,373.05978
208,2012-02-01 14:32:09.628800,367.4219
209,2012-02-01 18:10:19.228800,372.83237
210,2012-02-01 21:48:28.828800,386.7486
211,2012-02-02 01:26:38.428800,385.6953
212,2012-02-02 05:04:48.028800,387.75937
213,2012-02-02 08:42:57.628800,387.30197
214,2012-02-02 12:21:07.228800,407.73367
215,2012-02-02 15:59:16.828800,413.08847
216,2012-02-02 19:37:26.428800,421.51428
217,2012-02-02 23:15:36.028800,427.98727
218,2012-02-03 02:53:45.628800,424.87302
219,2012-02-03 06:31:55.228800,433.67175
220,2012-02-03 10:10:04.828800,430.72458
221,2012-02-03 13:48:14.428800,434.49545
222,2012-02-03 17:26:24.028800,428.7392
223,2012-02-03 21:04:33.628800,431.14423
224,2012-02-04 00:42:43.228800,441.79852
225,2012-02-04 04:20:52.828800,441.79852
226,2012-02-04 07:59:02.428800,452.05402
227,2012-02-04 11:37:12.028800,453.3955
228,2012-02-04 15:15:21.628800,453.3955
229,2012-02-04 18:53:31.228800,454.83853
230,2012-02-04 22:31:40.828800,456.0778
231,2012-02-05 02:09:50.428800,447.4318
232,2012-02-05 05:48:00.028800,430.84433
233,2012-02-05 09:26:09.628800,434.7741
234,2012-02-05 13:04:19.228800,438.07877
235,2012-02-05 16:42:28.828800,447.73807
236,2012-02-05 20:20:38.428800,455.12918
237,2012-02-05 23:58:48.028800,452.12866
238,2012-02-06 03:36:57.628800,439.46014
239,2012-02-06 07:15:07.228800,424.9012
240,2012-02-06 10:53:16.828800,412.14276
241,2012-02-06 14:31:26.428800,417.28476
242,2012-02-06 18:09:36.028800,417.28476
243,2012-02-06 21:47:45.628800,422.51157
244,2012-02-07 01:25:55.228800,433.68942
245,2012-02-07 05:04:04.828800,422.04565
246,2012-02-07 08:42:14.428800,411.30276
247,2012-02-07 12:20:24.028800,404.851
248,2012-02-07 15:58:33.628800,416.71304
249,2012-02-07 19:36:43.228800,412.63974
250,2012-02-07 23:14:52.828800,405.97263
251,2012-02-08 02:53:02.428800,409.94977
252,2012-02-08 06:31:12.028800,414.9795
253,2012-02-08 10:09:21.628800,420.28857
254,2012-02-08 13:47:31.228800,428.49884
255,2012-02-08 17:25:40.828800,432.39554
256,2012-02-08 21:03:50.428800,421.92703
257,2012-02-09 00:42:00.028800,413.94388
258,2012-02-09 04:20:09.628800,406.97366
259,2012-02-09 07:58:19.228800,423.38696
260,2012-02-09 11:36:28.828800,411.12473
261,2012-02-09 15:14:38.428800,432.23026
262,2012-02-09 18:52:48.028800,426.11212
263,2012-02-09 22:30:57.628800,403.78897
264,2012-02-10 02:09:07.228800,390.73923
265,2012-02-10 05:47:16.828800,387.9083
266,2012-02-10 09:25:26.428800,396.99133
267,2012-02-10 13:03:36.028800,395.18747
268,2012-02-10 16:41:45.628800,385.2488
269,2012-02-10 20:19:55.228800,375.2101
270,2012-02-10 23:58:04.828800,368.58182
271,2012-02-11 03:36:14.428800,373.17273
272,2012-02-11 07:14:24.028800,369.57138
273,2012-02-11 10:52:33.628800,355.16455
274,2012-02-11 14:30:43.228800,357.43732
275,2012-02-11 18:08:52.828800,361.42593
276,2012-02-11 21:47:02.428800,372.98145
277,2012-02-12 01:25:12.028800,375.53644
278,2012-02-12 05:03:21.628800,375.90366
279,2012-02-12 08:41:31.228800,372.82687
280,2012-02-12 12:19:40.828800,369.35303
281,2012-02-12 15:57:50.428800,378.71878
282,2012-02-12 19:36:00.028800,383.52454
283,2012-02-12 23:14:09.628800,394.65878
284,2012-02-13 02:52:19.228800,393.98395
285,2012-02-13 06:30:28.828800,406.67572
286,2012-02-13 10:08:38.428800,405.0903
287,2012-02-13 13:46:48.028800,385.18893
288,2012-02-13 17:24:57.628800,390.97897
289,2012-02-13 21:03:07.228800,395.22995
290,2012-02-14 00:41:16.828800,390.28134
291,2012-02-14 04:19:26.428800,396.906
292,2012-02-14 07:57:36.028800,399.4035
293,2012-02-14 11:35:45.628800,386.4263
294,2012-02-14 15:13:55.228800,394.81583
295,2012-02-14 18:52:04.828800,399.4211
296,2012-02-14 22:30:14.428800,390.56592
297,2012-02-15 02:08:24.028800,378.03308
298,2012-02-15 05:46:33.628800,386.63458
299,2012-02-15 09:24:43.228800,389.14877
300,2012-02-15 13:02:52.828800,376.07144
301,2012-02-15 16:41:02.428800,373.28665
302,2012-02-15 20:19:12.028800,362.05338
303,2012-02-15 23:57:21.628800,363.44977
304,2012-02-16 03:35:31.228800,357.34018
305,2012-02-16 07:13:40.828800,360.9909
306,2012-02-16 10:51:50.428800,354.95502
307,2012-02-16 14:30:00.028800,352.8749
308,2012-02-16 18:08:09.628800,346.11102
309,2012-02-16 21:46:19.228800,340.19608
310,2012-02-17 01:24:28.828800,338.60977
311,2012-02-17 05:02:38.428800,344.3754
312,2012-02-17 08:40:48.028800,359.3885
313,2012-02-17 12:18:57.628800,368.45374
314,2012-02-17 15:57:07.228800,357.5402
315,2012-02-17 19:35:16.828800,356.52124
316,2012-02-17 23:13:26.428800,361.50336
317,2012-02-18 02:51:36.028800,359.56903
318,2012-02-18 06:29:45.628800,391.00296
319,2012-02-18 10:07:55.228800,382.57016
320,2012-02-18 13:46:04.828800,390.87433
321,2012-02-18 17:24:14.428800,393.2773
322,2012-02-18 21:02:24.028800,385.1092
323,2012-02-19 00:40:33.628800,382.74854
324,2012-02-19 04:18:43.228800,402.5229
325,2012-02-19 07:56:52.828800,414.503
326,2012-02-19 11:35:02.428800,405.0635
327,2012-02-19 15:13:12.028800,397.67313
328,2012-02-19 18:51:21.628800,403.16507
329,2012-02-19 22:29:31.228800,431.84393
330,2012-02-20 02:07:40.828800,443.13113
331,2012-02-20 05:45:50.428800,422.6104
332,2012-02-20 09:24:00.028800,429.55048
333,2012-02-20 13:02:09.628800,404.4092
334,2012-02-20 16:40:19.228800,405.22876
335,2012-02-20 20:18:28.828800,403.25418
336,2012-02-20 23:56:38.428800,462.59747
337,2012-02-21 03:34:48.028800,463.72937
338,2012-02-21 07:12:57.628800,466.2756
339,2012-02-21 10:51:07.228800,447.6729
340,2012-02-21 14:29:16.828800,425.10895
341,2012-02-21 18:07:26.428800,441.37665
342,2012-02-21 21:45:36.028800,430.6764
343,2012-02-22 01:23:45.628800,461.88626
344,2012-02-22 05:01:55.228800,456.59058
345,2012-02-22 08:40:04.828800,444.05826
346,2012-02-22 12:18:14.428800,449.3722
347,2012-02-22 15:56:24.028800,455.78238
348,2012-02-22 19:34:33.628800,462.87296
349,2012-02-22 23:12:43.228800,464.74533
350,2012-02-23 02:50:52.828800,470.52423
351,2012-02-23 06:29:02.428800,466.213
352,2012-02-23 10:07:12.028800,467.01666
353,2012-02-23 13:45:21.628800,487.30875
354,2012-02-23 17:23:31.228800,491.98563
355,2012-02-23 21:01:40.828800,494.06116
356,2012-02-24 00:39:50.428800,493.40884
357,2012-02-24 04:18:00.028800,496.5544
358,2012-02-24 07:56:09.628800,486.0125
359,2012-02-24 11:34:19.228800,486.0125
360,2012-02-24 15:12:28.828800,489.679
361,2012-02-24 18:50:38.428800,483.72495
362,2012-02-24 22:28:48.028800,480.8574
363,2012-02-25 02:06:57.628800,479.65372
364,2012-02-25 05:45:07.228800,472.4127
365,2012-02-25 09:23:16.828800,456.33817
366,2012-02-25 13:01:26.428800,450.45297
367,2012-02-25 16:39:36.028800,447.54755
368,2012-02-25 20:17:45.628800,443.77103
369,2012-02-25 23:55:55.228800,438.92285
370,2012-02-26 03:34:04.828800,431.51166
371,2012-02-26 07:12:14.428800,424.99026
372,2012-02-26 10:50:24.028800,425.2017
373,2012-02-26 14:28:33.628800,412.4897
374,2012-02-26 18:06:43.228800,403.19745
375,2012-02-26 21:44:52.828800,387.82294
376,2012-02-27 01:23:02.428800,402.7747
377,2012-02-27 05:01:12.028800,399.4507
378,2012-02-27 08:39:21.628800,385.77875
379,2012-02-27 12:17:31.228800,395.19733
380,2012-02-27 15:55:40.828800,387.98495
381,2012-02-27 19:33:50.428800,382.0392
382,2012-02-27 23:12:00.028800,383.93604
383,2012-02-28 02:50:09.628800,381.49164
384,2012-02-28 06:28:19.228800,383.52298
385,2012-02-28 10:06:28.828800,379.38577
386,2012-02-28 13:44:38.428800,387.03754
387,2012-02-28 17:22:48.028800,383.8647
388,2012-02-28 21:00:57.628800,386.48022
389,2012-02-29 00:39:07.228800,396.57687
390,2012-02-29 04:17:16.828800,393.42096
391,2012-02-29 07:55:26.428800,387.8387
392,2012-02-29 11:33:36.028800,381.6458
393,2012-02-29 15:11:45.628800,391.64337
394,2012-02-29 18:49:55.228800,402.09457
395,2012-02-29 22:28:04.828800,392.0907
396,2012-03-01 02:06:14.428800,416.67413
397,2012-03-01 05:44:24.028800,425.63214
398,2012-03-01 09:22:33.628800,426.45648
399,2012-03-01 13:00:43.228800,412.93088
400,2012-03-01 16:38:52.828800,409.69308
401,2012-03-01 20:17:02.428800,411.55386
402,2012-03-01 23:55:12.028800,413.23407
403,2012-03-02 03:33:21.628800,419.54758
404,2012-03-02 07:11:31.228800,440.43
405,2012-03-02 10:49:40.828800,443.09412
406,2012-03-02 14:27:50.428800,437.2916
407,2012-03-02 18:06:00.028800,429.62305
408,2012-03-02 21:44:09.628800,423.14758
409,2012-03-03 01:22:19.228800,421.40295
410,2012-03-03 05:00:28.828800,409.94562
411,2012-03-03 08:38:38.428800,418.64212
412,2012-03-03 12:16:48.028800,414.7454
413,2012-03-03 15:54:57.628800,420.939
414,2012-03-03 19:33:07.228800,417.29178
415,2012-03-03 23:11:16.828800,410.15042
416,2012-03-04 02:49:26.428800,413.06128
417,2012-03-04 06:27:36.028800,403.60123
418,2012-03-04 10:05:45.628800,387.12772
419,2012-03-04 13:43:55.228800,384.09497
420,2012-03-04 17:22:04.828800,378.63232
421,2012-03-04 21:00:14.428800,379.05518
422,2012-03-05 00:38:24.028800,389.4366
423,2012-03-05 04:16:33.628800,395.74982
424,2012-03-05 07:54:43.228800,404.40662
425,2012-03-05 11:32:52.828800,395.55652
426,2012-03-05 15:11:02.428800,388.41284
427,2012-03-05 18:49:12.028800,384.6659
428,2012-03-05 22:27:21.628800,384.76913
429,2012-03-06 02:05:31.228800,403.37222
430,2012-03-06 05:43:40.828800,392.51584
431,2012-03-06 09:21:50.428800,400.03177
432,2012-03-06 13:00:00.028800,399.795
433,2012-03-06 16:38:09.628800,392.1937
434,2012-03-06 20:16:19.228800,386.80823
435,2012-03-06 23:54:28.828800,377.61407
436,2012-03-07 03:32:38.428800,383.65396
437,2012-03-07 07:10:48.028800,386.39352
438,2012-03-07 10:48:57.628800,393.5349
439,2012-03-07 14:27:07.228800,386.61533
440,2012-03-07 18:05:16.828800,377.92883
441,2012-03-07 21:43:26.428800,398.02405
442,2012-03-08 01:21:36.028800,392.7738
443,2012-03-08 04:59:45.628800,384.4696
444,2012-03-08 08:37:55.228800,378.11707
445,2012-03-08 12:16:04.828800,384.86087
446,2012-03-08 15:54:14.428800,385.8286
447,2012-03-08 19:32:24.028800,374.19315
448,2012-03-08 23:10:33.628800,372.82193
449,2012-03-09 02:48:43.228800,367.15912
450,2012-03-09 06:26:52.828800,376.57993
451,2012-03-09 10:05:02.428800,375.28687
452,2012-03-09 13:43:12.028800,360.92404
453,2012-03-09 17:21:21.628800,370.80826
454,2012-03-09 20:59:31.228800,366.31717
455,2012-03-10 00:37:40.828800,370.28873
456,2012-03-10 04:15:50.428800,356.9891
457,2012-03-10 07:54:00.028800,369.47995
458,2012-03-10 11:32:09.628800,363.81586
459,2012-03-10 15:10:19.228800,365.8957
460,2012-03-10 18:48:28.828800,377.92154
461,2012-03-10 22:26:38.428800,382.2317
462,2012-03-11 02:04:48.028800,390.15277
463,2012-03-11 05:42:57.628800,377.95322
464,2012-03-11 09:21:07.228800,380.85272
465,2012-03-11 12:59:16.828800,390.7241
466,2012-03-11 16:37:26.428800,394.3192
467,2012-03-11 20:15:36.028800,402.87695
468,2012-03-11 23:53:45.628800,391.3268
469,2012-03-12 03:31:55.228800,412.72754
470,2012-03-12 07:10:04.828800,402.40457
471,2012-03-12 10:48:14.428800,406.36493
472,2012-03-12 14:26:24.028800,410.19223
473,2012-03-12 18:04:33.628800,414.47287
474,2012-03-12 21:42:43.228800,406.19534
475,2012-03-13 01:20:52.828800,409.91635
476,2012-03-13 04:59:02.428800,414.59097
477,2012-03-13 08:37:12.028800,400.3924
478,2012-03-13 12:15:21.628800,407.52884
479,2012-03-13 15:53:31.228800,403.15585
480,2012-03-13 19:31:40.828800,403.88412
481,2012-03-13 23:09:50.428800,403.88412
482,2012-03-14 02:48:00.028800,399.76572
483,2012-03-14 06:26:09.628800,391.56635
484,2012-03-14 10:04:19.228800,380.6984
485,2012-03-14 13:42:28.828800,380.0198
486,2012-03-14 17:20:38.428800,382.3816
487,2012-03-14 20:58:48.028800,389.39014
488,2012-03-15 00:36:57.628800,386.26236
489,2012-03-15 04:15:07.228800,387.7471
490,2012-03-15 07:53:16.828800,375.23526
